#{"t_start": 1764748439.774726, "env_id": "custom-roundabout-v0"}
r,l,t
0.697099,15,0.77991
0.171682,15,1.116283
-0.426223,12,1.401919
-2.068606,4,1.485925
-2.230763,7,1.608251
-1.5649,8,1.792582
-0.393743,9,1.973763
2.063774,15,2.308332
1.080128,15,2.556615
-0.227993,8,2.692201
1.692672,15,2.977339
1.028996,15,3.27493
-2.229594,3,3.347482
2.67199,9,3.561418
-0.426995,12,3.759504
-2.154699,5,3.846454
5.323494,15,4.175077
-0.151233,10,4.401031
-0.621135,13,4.739859
0.801443,15,4.982917
0.270028,3,5.05554
-0.095347,10,5.253125
2.027116,15,5.585534
-2.069918,4,5.680462
-0.095229,15,6.019218
-2.106429,5,6.122773
0.020024,15,6.365867
1.724258,15,6.652228
-2.277379,4,6.74869
0.270028,3,6.822385
-2.222364,8,7.013315
-2.191047,5,7.100059
0.408162,15,7.391631
0.550764,15,7.686746
-2.32917,4,7.784112
0.833793,15,7.988361
0.320028,3,8.051433
-0.281665,8,8.165062
-0.454571,9,8.348097
1.709376,15,8.597806
1.731454,15,8.93377
-1.427254,8,9.094963
1.488264,15,9.299481
2.038505,15,9.594771
2.091948,15,9.9384
-0.075417,15,10.317272
-0.916951,10,10.518302
-2.312306,4,10.62721
-2.375839,11,10.919282
-0.503697,10,11.116067
-2.10545,5,11.237705
1.680845,8,11.401429
-0.292099,9,11.612614
-2.361662,4,11.684642
-2.362301,4,11.769301
-1.524661,4,11.839696
5.708604,15,12.172221
-0.486633,8,12.308124
1.527654,15,12.595669
2.449515,10,12.806667
-2.279854,8,12.943898
-2.373603,7,13.107738
-0.575143,13,13.362333
-0.372723,13,13.666692
-2.621043,3,13.730125
-2.714346,3,13.784179
0.938239,15,14.031036
-0.747738,8,14.172058
0.373842,15,14.523107
1.108454,15,14.812166
-1.388831,7,14.949331
-1.920646,4,15.019871
-0.238703,9,15.170626
-2.350064,7,15.292319
-0.589567,8,15.45335
-2.128958,3,15.516569
1.047632,15,15.804345
-2.620918,3,15.868025
-1.385617,8,16.058856
-2.024164,4,16.14372
-0.289664,11,16.359271
0.315561,3,16.413958
-2.311662,4,16.473901
-2.228324,6,16.616647
2.119592,15,16.945895
3.838614,15,17.272115
-0.609614,15,17.517448
-2.733158,8,17.651457
-0.6654,11,17.873678
0.383265,15,18.168508
-0.755165,13,18.425849
-2.179344,3,18.490255
0.270028,3,18.553137
-2.007195,6,18.674971
-0.431454,9,18.859005
-1.290273,8,19.023892
0.270028,3,19.077591
0.657824,15,19.462068
-2.715938,6,19.601334
-2.004231,5,19.705097
1.901003,15,19.912543
-2.362301,4,19.995627
-1.940438,6,20.117856
-0.430455,14,20.309901
1.510501,15,20.646649
4.748863,15,20.889451
-2.229582,3,20.952302
0.967323,15,21.241706
-2.774852,6,21.36133
0.270028,3,21.425225
-2.575929,3,21.479061
2.34265,15,21.772864
-2.226778,4,21.844266
-0.303596,10,22.043089
1.715431,15,22.341739
-0.145229,15,22.630246
-1.399751,6,22.752551
1.389601,15,23.088138
-2.287915,2,23.13149
-1.355634,9,23.34003
-0.608423,12,23.543652
-2.156464,5,23.678226
-0.652734,15,24.051325
1.82867,15,24.340308
-2.027288,4,24.412991
0.270028,3,24.486167
-0.664838,15,24.733399
2.395158,11,24.918706
1.795791,15,25.163635
2.368082,15,25.450292
-2.061687,5,25.537781
-2.124097,4,25.621787
0.270028,3,25.685271
1.153243,15,25.976521
-0.592569,12,26.181763
-2.069132,4,26.279339
4.514246,15,26.629255
-2.824932,6,26.732401
-0.458729,9,26.887267
-0.271541,10,27.095415
-0.424517,14,27.33397
0.963823,15,27.633759
0.270028,3,27.689682
2.462715,13,27.951455
-1.029073,14,28.230817
-2.179562,3,28.305616
-0.296186,11,28.530035
-0.600666,9,28.713303
-0.41219,11,28.974924
1.975329,15,29.314088
-0.248983,14,29.555079
-0.081733,11,29.81449
-2.178982,3,29.879366
-1.105237,9,30.066131
-2.229557,3,30.129946
-2.224809,8,30.26459
-2.400256,6,30.38638
-2.042149,8,30.572662
0.82731,15,30.824807
-0.562513,9,31.009446
1.069388,15,31.302159
-0.08586,11,31.493772
-2.207463,5,31.569917
-0.350986,12,31.808866
-0.774579,14,32.002776
0.824249,15,32.287148
-2.288331,2,32.324024
0.315561,3,32.388104
-1.075965,7,32.571057
0.59247,15,32.862648
-1.222545,5,32.967881
-0.490899,9,33.147022
-2.576418,3,33.200243
-2.576418,3,33.262984
-2.138361,5,33.349995
-1.961349,4,33.459124
-2.515113,3,33.512358
-0.503417,15,33.714459
-2.774932,6,33.836241
4.895923,15,34.079663
5.603505,15,34.405631
-2.028394,3,34.459834
1.600166,15,34.665397
1.030288,15,34.868898
-1.463477,6,34.993936
-0.704524,14,35.305177
-1.185091,6,35.430963
-1.542664,7,35.55421
-2.235538,7,35.719117
0.645105,15,36.006073
1.622996,15,36.252929
-0.402101,9,36.436067
-2.714491,3,36.50948
0.270028,3,36.582851
0.320028,3,36.645551
-0.6835,9,36.822882
0.320028,3,36.87714
-0.893034,7,37.071252
-0.269738,15,37.356163
4.350217,15,37.691235
1.38454,15,38.019438
-0.095229,15,38.304675
-2.237999,7,38.497407
-2.097119,6,38.63905
-1.763364,5,38.728531
2.956624,15,38.966631
-0.178609,11,39.119976
-2.241508,6,39.285049
1.581975,15,39.691341
-0.37417,10,39.83529
1.550649,15,40.122273
-0.631255,11,40.34314
-2.287919,2,40.387681
-2.282279,4,40.458799
5.097203,15,40.739009
0.315561,3,40.81247
-2.733279,8,41.022587
-1.339094,7,41.142954
-0.479393,11,41.489098
-0.227497,9,41.669348
-0.064042,10,41.842812
-2.078981,3,41.897914
5.178819,15,42.098779
0.514936,15,42.384295
-0.475834,10,42.528499
-2.067756,4,42.625975
1.567526,11,42.81238
0.320028,3,42.866129
0.61972,4,42.950337
-0.477921,10,43.118963
-1.991261,6,43.244293
-2.346243,5,43.380339
-2.123406,8,43.566628
-0.015391,10,43.735887
2.24883,15,44.017726
-2.363195,4,44.100482
0.806739,15,44.38797
-0.201558,14,44.707168
