#{"t_start": 1765242872.8007967, "env_id": "highway-v0"}
r,l,t
13.842853,18,6.868212
4.614811,6,8.823095
3.773219,5,10.450759
12.552366,16,15.573085
8.953503,13,19.756697
29.722069,39,32.040722
12.531622,16,37.397743
28.179872,40,51.195424
27.936545,40,65.024528
27.427477,40,78.846612
27.781145,40,92.814068
28.670034,40,106.709069
28.605259,40,121.080245
26.694148,40,135.443496
28.728102,40,149.659804
4.039209,5,151.401029
4.639189,6,153.400571
2.039988,3,154.495267
11.867393,13,159.035478
0.97955,2,159.78162
19.549058,21,167.013882
4.772523,6,169.203446
9.704611,11,172.902102
17.616963,19,179.552546
10.505852,12,183.565137
5.689615,7,186.012056
10.772519,12,190.144944
16.356282,18,196.212168
11.750296,13,200.905202
11.750296,13,205.340998
4.141411,5,207.034367
6.935142,8,209.759597
4.091632,5,211.734968
11.205782,13,216.294807
6.150297,7,218.650694
10.622948,12,223.007915
12.728074,14,227.950639
10.239185,12,232.342785
6.252519,7,234.784399
20.905852,22,242.283548
9.794741,11,246.055665
1.839988,3,247.129276
2.772656,4,248.519578
1.306655,2,249.180011
11.824031,13,253.872814
15.661408,17,259.76096
21.528074,23,267.748948
9.550296,11,271.546339
11.252519,12,275.689705
14.905852,17,281.590881
8.890697,10,285.327556
10.772519,12,289.490691
4.639189,6,291.506359
5.728075,7,293.962849
11.624963,13,298.420977
14.950296,16,304.045381
4.039209,5,305.872899
15.661408,17,311.661471
6.202741,7,314.344057
13.039185,15,319.38536
15.661408,17,325.349495
3.039322,4,326.720997
12.728074,14,331.53927
14.541408,16,337.043474
2.039988,3,338.098895
3.928098,5,339.784398
3.928098,5,341.452025
6.68363,8,344.167703
6.861408,8,346.952233
2.039988,3,348.027113
2.88962,4,349.401524
3.928098,5,351.097129
9.550296,11,354.954117
18.11292,19,361.498171
4.202743,5,363.18139
6.622948,8,366.090969
8.446253,10,369.560236
2.772656,4,370.906318
13.705852,15,376.111599
1.839988,3,377.177148
2.772656,4,378.583029
18.039185,19,385.124656
1.069811,2,385.928219
3.112919,4,387.316551
6.716893,8,390.232821
11.039185,12,394.357111
8.372519,10,398.191699
11.824031,13,402.654198
8.594741,10,406.206964
10.039185,11,410.251262
14.328074,16,415.99703
17.616963,19,423.027163
14.594741,16,428.960137
3.93406,5,430.750306
13.039185,15,438.353836
20.550296,22,449.403745
14.202741,15,456.940142
13.446253,15,463.265446
19.105852,21,470.617787
2.861545,4,472.027197
17.705852,20,479.202728
20.061408,22,486.721491
11.750296,13,491.276783
9.713852,11,495.080824
6.373184,8,497.932902
32.2735,34,510.141861
4.639189,6,512.274487
6.579586,8,515.002297
14.046253,16,520.753999
20.550296,22,528.3251
5.172519,6,530.708135
10.505852,12,534.786265
1.839988,3,535.864547
2.172656,3,536.821586
6.861408,8,539.575451
6.861408,8,542.330647
2.039988,3,543.390882
1.253127,2,544.154258
3.705875,5,545.864869
14.328074,16,551.384897
12.072448,13,555.87912
19.839185,21,563.163279
17.039185,18,569.381968
9.328657,11,573.303249
23.472448,34,584.956184
6.978504,8,587.685231
12.728074,14,592.794105
11.305852,12,596.932119
7.639185,9,600.039125
18.852519,21,607.275952
12.728074,14,612.140755
5.785852,7,614.588228
6.505852,8,617.370981
4.772523,6,619.490499
6.039186,7,621.942758
6.861408,8,624.748234
6.096963,7,627.128122
6.68363,8,629.933407
14.328074,16,635.434585
2.119289,3,636.498223
5.039189,6,638.629125
12.728074,14,644.376698
5.039189,6,646.530941
7.572519,9,649.683475
9.794741,11,653.519452
10.772519,12,657.823962
9.305852,11,661.560274
7.639185,9,664.765335
10.772519,12,668.855942
11.172519,13,673.319443
5.039189,6,675.836185
19.269408,21,683.239131
9.794741,11,687.018066
11.172519,13,691.555345
20.539115,23,699.524058
1.973321,3,700.647755
2.156314,3,701.73943
0.957643,2,702.414172
8.711837,10,706.15032
4.936075,6,708.19079
1.973321,3,709.248199
9.305852,11,713.198201
5.11292,6,718.550388
19.736074,21,735.416719
1.973321,3,736.372463
12.416963,14,741.406345
4.802741,6,743.374575
5.605782,7,745.757372
2.861545,4,747.133317
3.039322,4,748.493673
19.839185,22,756.029949
16.505966,18,767.728612
20.11292,21,780.900333
2.772656,4,782.201116
15.28363,17,787.82399
19.572519,21,795.237168
7.11292,8,797.94179
1.839988,3,798.989129
6.68363,8,801.754411
7.439185,9,804.786299
7.71292,9,808.022574
9.469408,11,811.870653
19.179586,21,819.124288
2.039988,3,820.206279
5.88363,7,822.758363
10.505852,12,826.855312
5.572519,7,829.193883
1.839988,3,830.270048
11.202741,12,834.344978
13.039185,14,839.111488
3.305875,4,840.500808
5.172519,6,842.740311
27.91637,40,856.703826
26.694148,40,870.473064
26.694148,40,884.342245
10.395331,15,889.5064
12.305852,13,893.957721
1.973321,3,895.052711
4.039209,5,896.749083
14.911679,16,902.292079
8.202741,9,905.558918
3.972523,5,907.38812
9.572519,11,911.180924
19.039185,20,933.343313
16.239185,18,939.406867
2.039988,3,940.691772
24.000726,26,949.479638
15.447185,17,955.432688
4.039209,5,957.199228
1.839988,3,958.166491
12.534059,14,963.575329
6.68363,8,972.188086
11.461408,13,981.730727
2.039988,3,982.751313
12.801809,14,987.242846
4.772523,6,989.309971
7.039185,8,991.980901
5.785852,7,994.412712
4.639189,6,996.430067
3.816987,5,998.164695
1.906655,3,999.205381
7.439185,9,1002.213836
2.846252,4,1003.58969
8.202741,9,1006.692984
9.667393,11,1010.372014
26.156282,27,1033.40712
2.760004,4,1035.100636
12.194741,14,1039.828272
22.105852,24,1047.901736
18.072448,19,1054.311706
21.439185,24,1064.392891
5.039189,6,1071.089219
13.039185,14,1075.825271
1.872402,3,1076.858257
15.039185,16,1088.592036
11.461408,13,1093.248569
16.039185,17,1099.333394
6.719185,8,1102.205839
20.039185,21,1110.066455
10.772519,12,1114.109151
13.252519,14,1118.959552
12.105852,14,1123.747608
10.239185,12,1127.879017
1.906655,3,1128.981543
4.772523,6,1130.950005
7.439185,9,1134.143056
18.039185,19,1140.985544
11.039185,12,1145.103131
14.68363,16,1150.880092
1.872402,3,1151.953934
2.20281,3,1153.136499
4.639189,6,1155.168172
3.705875,5,1156.87025
3.595327,5,1158.655952
27.583037,40,1172.711545
24.511173,35,1185.01916
10.805782,12,1189.208323
16.639185,18,1195.635534
5.994741,7,1198.114453
8.816963,10,1201.762392
10.239185,12,1205.975769
9.039185,10,1209.532945
16.824613,19,1216.335292
11.616963,13,1220.934704
11.960815,17,1226.84758
5.069408,6,1228.869368
13.705852,15,1234.332237
8.934059,10,1237.869286
10.016963,11,1241.64134
4.772523,6,1243.811195
6.305852,7,1246.285187
4.001808,5,1248.029759
4.639189,6,1250.140999
3.261626,5,1251.96406
7.039185,8,1254.766384
8.816963,10,1258.246571
7.288889,10,1261.823069
18.413233,20,1268.881145
31.998501,40,1283.518612
2.461639,4,1284.9634
11.198501,15,1290.434503
30.559316,40,1307.008537
29.049704,40,1321.700188
28.471926,40,1336.059527
28.471926,40,1350.030529
26.694148,40,1364.234765
31.889452,40,1378.098555
29.494148,40,1391.92637
26.694148,40,1405.912494
28.471926,40,1420.161134
28.583037,40,1433.74055
27.583037,40,1447.738749
27.51637,40,1461.965253
29.494148,40,1475.860507
26.694148,40,1489.823462
28.116366,40,1503.892483
30.022143,40,1518.002442
28.205255,40,1532.435514
20.027481,31,1543.304622
28.559299,40,1557.267261
24.0,31,1568.104093
1.663419,3,1569.149607
28.025982,40,1583.450158
26.694148,40,1597.618688
28.11637,40,1611.840463
27.094015,40,1627.283108
27.090748,40,1642.345315
28.471926,40,1656.424999
28.471926,40,1670.253332
29.360815,40,1684.0326
27.094148,40,1698.399199
26.694148,40,1712.995523
30.160814,40,1726.884529
26.694148,40,1740.875848
27.205259,40,1754.505492
30.692649,40,1768.296703
27.82244,40,1782.684967
29.69291,40,1796.516382
26.694148,40,1810.246136
29.360815,40,1824.20287
29.494148,40,1838.106299
28.471926,40,1852.250921
27.583037,40,1866.218013
28.471926,40,1880.057086
28.849704,40,1894.245721
27.583037,40,1908.550675
27.714866,40,1922.573617
28.471926,40,1936.937329
28.560815,40,1951.205827
27.044505,40,1965.165481
29.360815,40,1979.053186
29.360815,40,1992.622251
26.960815,40,2006.378898
27.603368,40,2020.283278
28.471926,40,2033.749155
27.583037,40,2047.630098
28.671926,40,2061.258194
28.183037,40,2074.977648
30.889107,40,2088.943033
28.471926,40,2102.676532
26.694148,40,2116.419475
27.627481,40,2130.222023
26.737904,40,2143.803302
29.360815,40,2157.620301
26.027481,40,2171.446203
27.427481,40,2185.383364
29.360815,40,2199.183449
29.538592,40,2213.637115
28.738592,40,2228.679815
29.360815,40,2242.596553
28.005259,40,2256.524105
10.418961,14,2261.301153
21.598501,28,2270.890985
28.446443,40,2284.748134
26.694148,40,2298.871187
7.605259,12,2303.052227
28.427481,40,2317.540497
28.471926,40,2331.620037
30.555472,40,2345.473984
30.690061,40,2359.517901
27.226793,40,2373.572978
26.82559,40,2388.31507
27.583037,40,2402.394169
29.15532,40,2416.26271
28.605259,40,2429.997008
29.181505,40,2443.552619
30.425982,40,2457.640485
26.694148,40,2471.630968
28.471926,40,2485.225035
26.694148,40,2499.156281
28.974021,40,2512.913749
27.494148,40,2526.75095
27.338592,40,2540.773247
27.427481,40,2554.57426
29.177774,40,2568.354798
14.407192,19,2575.009871
9.661626,13,2579.350047
5.661626,8,2582.037092
28.489107,40,2595.809831
26.694148,40,2609.357657
26.783014,40,2623.262139
29.360815,40,2641.674621
28.560815,40,2655.528334
27.71637,40,2669.256689
29.227481,40,2682.765854
26.868492,40,2696.203273
28.871925,40,2710.113587
31.627481,40,2723.668041
29.027481,40,2737.349393
3.669897,6,2739.477514
26.758253,40,2753.077056
28.160815,40,2766.594909
28.471926,40,2780.23909
26.694148,40,2793.71921
28.471926,40,2807.307863
27.583037,40,2821.938565
27.583037,40,2835.863302
27.583037,40,2849.633442
27.583037,40,2863.334158
28.471926,40,2876.882173
29.360815,40,2890.699773
28.494148,40,2904.66728
26.694148,40,2918.985436
26.95931,40,2932.661618
27.91637,40,2946.571594
28.471926,40,2975.521794
28.912477,40,2988.942493
28.605259,40,3002.647773
28.471926,40,3016.164945
28.471926,40,3029.749388
26.694148,40,3043.477543
27.094129,40,3056.858563
29.360815,40,3070.625342
26.694148,40,3084.329169
29.336701,40,3113.643499
28.405258,40,3130.892615
26.694148,40,3144.946354
28.827481,40,3158.513003
26.694148,40,3172.075379
28.160815,40,3185.585088
27.583037,40,3199.428462
30.694148,40,3213.309791
27.583037,40,3227.623388
29.360815,40,3256.938872
28.471926,40,3270.061511
27.583037,40,3287.876992
26.694148,40,3309.788162
26.694148,40,3322.967697
26.827481,40,3348.701707
28.471926,40,3361.496557
27.716351,40,3374.842037
29.360815,40,3390.469457
27.205259,40,3404.364928
29.360815,40,3418.162843
28.914819,40,3432.50938
28.471926,40,3446.56194
26.694148,40,3460.337763
27.285207,40,3474.100947
29.360815,40,3487.925112
27.583037,40,3501.576763
26.694148,40,3515.991154
13.6,18,3522.404292
11.251023,13,3526.903803
27.894148,40,3540.801581
26.694148,40,3554.850381
27.583037,40,3568.718758
28.471926,40,3582.663405
28.471926,40,3596.777152
28.471926,40,3610.624625
28.471926,40,3624.572014
26.694148,40,3638.325403
26.694148,40,3652.362538
27.60513,40,3666.254386
8.627481,13,3670.768965
27.583037,40,3684.462494
26.694148,40,3698.379162
29.360815,40,3712.233611
26.694148,40,3726.358829
27.982372,40,3740.659655
26.694148,40,3754.655235
26.694148,40,3768.384363
26.694148,40,3782.102321
29.360815,40,3795.844262
29.360815,40,3809.740227
26.694148,40,3823.976146
27.583037,40,3837.852283
26.694148,40,3865.16096
26.694148,40,3902.969982
26.694148,40,3935.394974
26.694148,40,3966.747349
27.583037,40,4001.206839
29.360815,40,4035.599885
27.583037,40,4070.309966
7.427481,11,4079.905321
26.694148,40,4113.526389
28.471926,40,4146.959537
28.471926,40,4180.332336
26.694148,40,4213.624228
29.360815,40,4247.797229
29.471363,40,4279.136452
29.360815,40,4312.488395
29.360815,40,4347.918736
28.60524,40,4380.822019
26.694148,40,4413.661084
29.360815,40,4448.74651
28.560799,40,4480.760429
26.694148,40,4512.801361
27.71637,40,4545.447714
29.360815,40,4576.074529
28.605259,40,4606.519116
29.360815,40,4639.106849
28.649704,40,4670.685244
27.71637,40,4702.016317
30.239346,40,4734.160239
27.583037,40,4766.515455
28.471926,40,4801.010152
29.582881,40,4834.671657
29.11637,40,4866.00362
28.471926,40,4900.098445
28.938592,40,4933.091771
23.471926,34,4961.136076
27.583037,40,4993.061704
29.494148,40,5025.508914
26.694148,40,5057.063661
26.694148,40,5089.242307
27.583037,40,5121.59438
29.360815,40,5153.403221
29.627481,40,5185.671064
29.360815,40,5218.581614
26.694148,40,5252.331527
29.360815,40,5284.118976
28.605258,40,5316.618385
28.471926,40,5348.718389
27.71637,40,5380.476692
28.471926,40,5411.702165
28.91637,40,5443.604909
27.583037,40,5476.617973
26.71637,40,5508.760965
26.827481,40,5541.856323
28.471926,40,5573.406473
28.494148,40,5605.181148
28.471926,40,5637.253393
29.360815,40,5669.325337
27.226702,40,5701.526074
27.583037,40,5733.468593
28.360799,40,5765.587311
29.360815,40,5797.577078
28.471926,40,5832.168051
29.360815,40,5863.933115
29.360815,40,5895.871747
27.583037,40,5928.075842
26.694148,40,5959.582218
26.694148,40,5991.918847
28.471926,40,6024.054478
26.938592,40,6056.658613
26.827481,40,6088.78476
27.583037,40,6120.897216
27.583037,40,6153.243611
27.84579,40,6185.068397
