#{"t_start": 1764738393.5106578, "env_id": "merge-v0"}
r,l,t
3.095926,4,3.192853
5.914166,7,3.273963
4.047854,5,3.329043
10.483435,13,3.472114
13.356234,15,3.645003
8.049069,10,3.757833
11.168953,15,3.920201
4.12232,5,3.975245
4.98461,6,4.041314
5.040258,6,4.110947
5.986082,7,4.185551
5.84015,7,4.259134
5.025277,6,4.334232
12.467336,14,4.499346
4.373704,5,4.553765
4.366667,5,4.608593
4.191472,5,4.658633
10.584319,12,4.790762
5.983431,7,4.864969
4.26386,5,4.919244
4.01248,5,4.973119
11.278034,15,5.128723
5.914166,7,5.201587
10.049069,12,5.33118
5.279675,6,5.39476
10.175785,12,5.51977
5.179045,6,5.579594
6.868507,8,5.672174
4.984129,6,5.731731
5.696502,7,5.808617
9.739674,12,5.94186
7.909904,9,6.038166
8.378982,10,6.146258
5.724396,7,6.219942
3.277778,4,6.260784
11.774764,16,6.437725
5.095814,6,6.499172
11.281091,14,6.6489
3.184737,4,6.691345
6.150098,7,6.763452
13.58529,15,6.941441
5.013855,6,7.005277
10.594541,12,7.138122
8.076847,10,7.239681
14.106234,16,7.441688
10.816614,14,7.583807
7.072724,8,7.677155
3.151481,4,7.718259
6.969428,8,7.803661
4.108165,5,7.85879
13.705895,15,8.036711
10.642212,14,8.190979
4.966855,6,8.254153
6.125412,8,8.344564
8.292032,10,8.451827
9.819666,12,8.574052
3.288987,4,8.623744
5.944616,7,8.7047
4.15029,5,8.762093
10.400993,12,8.901131
6.509203,8,8.989499
6.009299,7,9.062357
8.048224,10,9.169714
4.886023,6,9.233661
6.683041,8,9.3255
12.138889,13,9.472224
4.083871,5,9.524355
4.744074,6,9.593345
12.329387,15,9.753645
6.940735,8,9.855459
4.164788,5,9.9141
4.067492,5,9.973578
3.220343,4,10.023538
7.034976,9,10.115402
4.164092,5,10.172662
12.150339,13,10.312752
4.81232,6,10.377186
4.207037,5,10.436546
10.316035,12,10.573065
12.318953,14,10.744392
7.758078,9,10.842488
6.714252,9,10.952972
5.145883,6,11.0236
4.159901,5,11.084902
3.070167,4,11.13394
6.766488,8,11.234921
6.914057,8,11.335537
5.128279,6,11.404277
6.854036,8,11.50832
5.207061,6,11.574573
4.891638,6,11.647284
4.70809,6,11.722489
10.140843,12,11.865238
5.744071,7,11.948637
6.869371,8,12.050094
4.124872,5,12.10552
9.83076,14,12.274912
7.235987,8,12.375486
7.296797,9,12.481971
7.885912,9,12.588321
8.847588,11,12.712581
7.507887,9,12.824089
8.057465,10,12.963463
4.243235,5,13.034809
6.972759,8,13.140782
7.577273,9,13.23666
5.878279,7,13.323414
8.401654,10,13.450826
4.080832,5,13.505399
10.972488,15,13.698284
11.817994,14,13.886076
4.900812,6,13.955703
4.248121,5,14.024762
5.969721,7,14.11628
5.225167,6,14.185001
12.717279,14,14.375476
5.661438,7,14.477938
6.582086,8,14.583007
6.61806,8,14.678183
