#{"t_start": 1764626356.954956, "env_id": "custom-roundabout-v0"}
r,l,t
5.541667,6,0.612049
17.875,20,0.961813
3.208333,4,1.051473
3.041667,4,1.144571
4.291667,6,1.291924
2.0,3,1.349884
19.916667,20,1.697861
7.75,8,1.872322
4.0,5,1.985257
5.666667,7,2.162254
17.375,20,2.541356
1.416667,2,2.582514
20.083333,20,2.890644
5.458333,8,3.048441
4.166667,5,3.16092
19.666667,20,3.516653
18.916667,20,3.827106
17.416667,20,4.087002
1.958333,3,4.146737
18.833333,20,4.564269
18.0,20,4.939383
18.041667,20,5.30253
18.083333,20,5.665029
9.541667,10,5.797276
15.916667,20,6.150799
7.666667,9,6.346882
5.416667,7,6.479847
17.166667,20,6.837503
17.041667,20,7.251195
9.5,10,7.439491
7.916667,8,7.590127
19.958333,20,7.958987
17.958333,20,8.327562
10.333333,13,8.617053
18.833333,20,8.979229
5.125,6,9.135426
17.25,20,9.444554
3.25,4,9.523691
20.25,20,9.836452
4.375,6,9.975042
17.708333,20,10.341804
8.458333,10,10.509679
7.166667,7,10.623432
18.5,20,10.937894
1.416667,2,10.973804
17.833333,20,11.339621
6.875,8,11.46853
5.833333,7,11.605089
2.041667,3,11.656756
9.208333,11,11.8638
7.041667,8,12.067816
18.416667,20,12.554955
14.625,20,12.923449
4.041667,5,13.023484
19.833333,20,13.399483
18.083333,20,13.773193
2.333333,3,13.856853
1.416667,2,13.906637
19.833333,20,14.337699
8.166667,10,14.499932
15.416667,20,14.758778
5.583333,7,14.895097
17.708333,20,15.379339
18.291667,20,15.690765
2.458333,3,15.752615
17.375,20,16.119652
2.0,3,16.18106
8.875,9,16.359155
17.666667,20,16.676901
11.041667,13,16.889916
16.833333,20,17.330486
18.0,20,17.703823
4.541667,6,17.820985
1.916667,3,17.872479
18.958333,20,18.368451
1.875,3,18.438573
9.5,10,18.600673
17.416667,20,19.031119
18.916667,20,19.343623
4.166667,5,19.457142
6.166667,8,19.612247
6.833333,8,19.722522
2.0,3,19.774802
17.583333,20,20.088352
1.875,3,20.158881
2.875,4,20.239399
17.75,20,20.503752
1.875,3,20.55595
17.666667,20,20.872785
20.416667,20,21.297062
1.875,3,21.350125
2.041667,3,21.410922
3.291667,5,21.527352
16.708333,20,21.95428
19.208333,20,22.267242
4.75,6,22.385487
4.0,5,22.471958
18.5,20,22.839952
18.25,20,23.106592
2.458333,3,23.177487
15.833333,20,23.437127
3.5,4,23.531232
6.125,7,23.62886
17.666667,20,24.000639
8.083333,8,24.158397
4.333333,6,24.311143
19.625,20,24.628538
16.583333,20,24.943062
6.791667,8,25.098474
10.416667,11,25.314117
19.041667,20,25.681767
16.583333,20,25.94751
17.25,20,26.373094
8.416667,10,26.636185
18.208333,20,27.010076
19.833333,20,27.330614
18.708333,20,27.720854
17.5,20,28.149093
16.583333,20,28.464448
4.0,5,28.565753
2.0,3,28.63554
17.416667,20,28.897053
17.416667,20,29.26247
9.416667,10,29.449764
18.291667,20,29.712484
12.25,13,29.917218
2.375,3,29.978462
11.25,12,30.172859
5.541667,6,30.309976
5.833333,8,30.517708
9.375,10,30.711318
18.791667,20,31.0218
2.208333,4,31.102381
4.208333,5,31.203141
18.541667,20,31.511061
19.166667,20,31.826419
2.291667,3,31.879016
9.583333,10,32.101516
6.541667,7,32.265128
20.208333,20,32.685709
18.25,20,33.050621
19.416667,20,33.419746
19.708333,20,33.743331
17.25,20,34.120872
1.916667,3,34.182093
8.041667,10,34.432618
3.958333,5,34.549256
17.458333,20,34.916632
20.791667,20,35.395699
