#{"t_start": 1764549363.365636, "env_id": "custom-roundabout-v0"}
r,l,t
2.131576,3,0.567254
3.233732,5,0.677798
7.219845,8,0.806008
9.172873,10,0.957235
19.183866,20,1.35438
18.949624,20,1.601968
3.087697,4,1.694005
19.088872,20,2.050409
2.961684,4,2.138565
4.093913,5,2.245871
2.042161,3,2.303921
2.042162,3,2.361463
11.947903,13,2.626147
18.783812,20,3.02137
9.26982,10,3.257161
10.201973,11,3.484969
8.255919,10,3.693797
13.011642,14,3.909611
19.379004,20,4.208443
4.198783,6,4.358051
2.043609,3,4.416913
19.435827,20,4.7247
19.239899,20,5.107853
9.314515,10,5.291589
16.75866,18,5.610115
4.015231,5,5.706017
4.059258,5,5.800135
1.159894,2,5.852926
4.155137,5,5.947136
11.073358,12,6.130446
6.771578,8,6.2741
14.839975,20,6.624276
3.135936,4,6.702053
19.107538,20,7.054808
20.289188,20,7.458101
7.375343,9,7.597192
1.159902,2,7.631186
6.406391,8,7.757175
2.131447,3,7.815182
4.776289,6,7.959325
5.205043,6,8.071766
14.748874,20,8.368315
18.556734,20,8.660009
7.916352,9,8.85578
18.996783,20,9.204058
2.083346,4,9.304588
15.692086,17,9.566331
19.642361,20,9.988836
16.796778,20,10.295587
2.131448,3,10.34752
3.027013,4,10.450696
8.274617,9,10.569992
4.336954,5,10.652296
4.004394,5,10.765382
3.996295,5,10.846643
4.863683,6,10.958974
19.097173,20,11.21039
2.131569,3,11.261209
2.147053,3,11.329612
2.116782,4,11.420544
20.160297,20,11.826423
1.979847,3,11.884281
1.975009,3,11.951991
19.521499,20,12.222767
15.830151,17,12.527552
10.173763,11,12.732681
6.390445,8,12.906476
13.952981,15,13.174997
7.397378,8,13.305394
19.499202,20,13.662513
3.01198,4,13.730248
2.131555,3,13.799113
11.138866,12,14.017675
20.163431,20,14.36105
1.160025,2,14.407512
4.015278,5,14.50612
14.850801,16,14.845937
7.288528,9,14.988594
4.968954,6,15.121073
18.982284,20,15.474709
19.193858,20,15.788296
18.6503,20,16.046605
11.040183,12,16.303214
8.322569,9,16.424087
3.13375,4,16.502434
1.964207,3,16.544973
19.500764,20,16.900758
19.350368,20,17.266407
17.73391,20,17.580498
1.959384,3,17.631943
15.797791,17,18.036808
5.787677,7,18.192831
2.026537,3,18.243895
4.252706,5,18.342419
7.262628,9,18.507431
6.393034,8,18.683574
19.204942,20,19.04314
19.862284,20,19.348982
10.114593,11,19.52181
8.414689,9,19.689806
19.591439,20,20.05077
8.000586,9,20.251445
3.024515,4,20.34128
19.217085,20,20.705833
8.341618,9,20.877642
19.945593,20,21.241842
4.029229,5,21.370846
2.977872,4,21.448417
1.959384,3,21.508141
2.007522,3,21.558683
19.047951,20,21.924727
2.977823,4,21.991545
11.868247,14,22.249206
7.284858,9,22.491003
6.338498,8,22.600114
10.198962,12,22.863409
2.147075,3,22.923673
1.975009,3,22.985002
19.210174,20,23.349523
2.022994,3,23.40007
1.973613,3,23.460179
6.884148,8,23.615701
12.963699,14,23.961654
1.160027,2,24.003516
8.282956,9,24.226837
1.975009,3,24.287428
19.252897,20,24.596219
18.878793,20,24.956392
13.911754,15,25.194501
3.027013,4,25.286445
1.964282,3,25.345895
19.193393,20,25.758822
13.862539,15,26.088931
1.959384,3,26.159675
3.02714,4,26.240535
10.217529,11,26.482499
13.020075,14,26.742872
2.009088,3,26.794051
4.014435,5,26.908429
19.575818,20,27.358605
11.020004,12,27.547068
1.159893,2,27.588745
8.798514,10,27.751028
1.959384,3,27.802594
3.08767,4,27.907085
18.593614,20,28.343679
9.28752,10,28.538256
14.858526,20,28.85142
19.609608,20,29.286354
19.537646,20,29.650932
11.111736,12,29.881909
16.599847,20,30.289906
4.017739,5,30.400894
8.266627,9,30.569832
2.007369,3,30.620818
5.926978,7,30.735794
18.994673,20,31.044702
1.959384,3,31.10618
1.973613,3,31.166926
19.533611,20,31.582127
2.026515,3,31.654444
18.291111,20,32.017187
19.150954,20,32.329936
2.962248,4,32.409101
1.159897,2,32.458555
3.917283,5,32.576622
19.396952,20,32.94339
9.346728,10,33.103596
20.454197,20,33.465985
7.128009,8,33.644999
6.818452,8,33.796258
20.434733,20,34.157471
10.257783,11,34.370093
19.341441,20,34.786447
18.813712,20,35.149825
1.975009,3,35.211306
2.100819,4,35.319016
3.042638,4,35.411784
5.295932,7,35.548621
19.792137,20,35.880838
16.855533,20,36.247695
18.494991,20,36.652946
1.959384,3,36.704112
16.67153,20,37.010703
2.042161,3,37.062856
8.415165,9,37.186015
5.175277,6,37.305292
1.959384,3,37.356754
19.428697,20,37.771296
10.116603,11,37.982899
1.973613,3,38.043895
8.314704,9,38.190774
9.13227,11,38.366659
3.027013,4,38.460453
3.042984,5,38.532593
8.928755,10,38.752155
7.692103,9,38.872209
13.910906,15,39.148887
18.756867,20,39.456462
19.23941,20,39.783352
2.067805,3,39.843698
19.412194,20,40.202867
2.165653,4,40.296066
4.033028,5,40.410351
4.289615,5,40.478582
2.150158,4,40.557797
5.020398,6,40.689187
2.023147,3,40.758506
7.620185,9,40.961073
18.92807,20,41.21897
19.279447,20,41.641299
17.841459,19,41.930788
3.103583,4,42.023376
2.131399,3,42.093753
3.027405,4,42.173563
5.389438,6,42.272986
19.408744,20,42.583446
19.083314,20,42.949388
19.268795,20,43.338394
19.293305,20,43.647377
18.82846,20,44.066809
5.975342,7,44.251497
7.666546,9,44.429848
14.743726,20,44.7954
5.033981,6,44.914777
2.147193,3,44.975572
9.311974,10,45.164515
19.058023,20,45.591494
5.229001,6,45.74793
5.360131,6,45.849382
17.722497,19,46.316741
13.931602,15,46.549365
9.275717,10,46.713048
8.312895,9,46.862478
11.054597,12,47.058652
8.354599,9,47.260998
4.320795,5,47.372545
5.245278,6,47.471592
3.042752,4,47.539782
4.755673,6,47.640993
19.354588,20,47.917411
11.119741,12,48.108871
7.086127,8,48.264797
5.013543,6,48.381073
19.243033,20,48.642405
6.42706,8,48.795187
3.997682,5,48.891862
7.981146,9,49.039905
10.994493,12,49.265655
7.117754,8,49.418464
19.511946,20,49.729178
12.043732,13,49.973232
11.982911,13,50.224336
18.65133,20,50.646108
20.184494,20,50.956036
19.348036,20,51.393885
6.312069,8,51.602415
4.16817,6,51.724993
18.867666,20,52.152107
19.206509,20,52.579112
2.178622,3,52.6597
11.949632,13,52.903382
19.112632,20,53.22188
6.85536,8,53.376466
3.999063,5,53.458625
2.131428,3,53.519134
8.38544,9,53.696458
4.9409,6,53.799054
4.045165,5,53.915495
19.013439,20,54.222481
19.485771,20,54.590572
19.003454,20,54.924886
2.131576,3,54.985921
9.344961,10,55.210365
2.147077,3,55.271566
4.290954,5,55.385636
4.807529,6,55.503892
19.656427,20,55.817433
16.752777,18,56.153589
10.366473,11,56.431275
7.652492,9,56.603686
19.408341,20,56.979317
12.894586,14,57.208253
19.026802,20,57.583498
14.838577,16,57.925362
4.352371,5,58.009905
10.193476,11,58.222752
8.427277,9,58.396546
15.793789,17,58.71418
12.037823,13,58.993095
2.116788,4,59.092243
4.064284,5,59.192835
15.905643,17,59.509811
10.959679,13,59.717215
9.230548,10,59.879494
1.975009,3,59.931272
10.132586,11,60.111136
2.10101,4,60.217614
8.411362,9,60.394214
4.035663,5,60.494495
8.674938,10,60.658357
4.074878,5,60.744187
4.076879,5,60.860269
11.195858,12,61.157885
13.943295,15,61.355234
9.177532,10,61.543781
13.028866,14,61.802891
12.957902,14,62.066008
19.144372,20,62.434513
14.77372,20,62.797393
9.328986,10,62.963425
2.162806,3,63.049807
1.159895,2,63.099857
19.258791,20,63.465524
6.400922,8,63.595696
11.08202,12,63.856533
9.218309,10,64.050564
11.081282,12,64.315875
5.770842,7,64.451388
4.063112,5,64.550679
3.151571,4,64.630378
4.074859,5,64.731084
5.897014,7,64.847823
19.252376,20,65.219564
10.786446,12,65.481251
