#{"t_start": 1764625737.748926, "env_id": "custom-roundabout-v0"}
r,l,t
1.7,9,0.639756
1.5,11,0.874122
-0.85,6,0.98513
-0.2,8,1.137364
-0.6,3,1.202236
0.6,4,1.290526
1.55,10,1.505506
1.5,20,1.852357
-0.65,10,2.102065
-0.2,3,2.16176
-0.25,3,2.230364
0.55,7,2.34533
-0.25,6,2.476283
2.05,20,2.725978
-0.35,4,2.803375
5.15,20,3.150419
-0.3,6,3.264917
2.4,20,3.565342
0.3,3,3.623858
2.3,20,4.036787
1.15,20,4.401049
0.25,3,4.452773
-0.3,5,4.537406
-0.35,4,4.614393
3.65,20,5.028869
4.9,20,5.278954
4.15,20,5.583112
1.6,20,5.897167
-0.65,3,5.949278
-0.15,3,6.021613
-0.35,4,6.0908
2.65,20,6.454874
-0.2,5,6.539347
1.55,12,6.80008
2.05,20,7.177046
2.15,20,7.489448
0.95,20,7.849766
0.45,20,8.114035
3.5,20,8.479407
5.15,20,8.839598
1.3,20,9.261902
5.05,20,9.566424
0.8,20,9.92533
4.9,20,10.286877
-0.15,3,10.348175
1.25,10,10.510673
-0.35,5,10.611846
1.7,20,10.923744
5.1,20,11.236914
-0.5,4,11.306131
0.75,20,11.619217
1.0,7,11.736031
0.85,20,11.999687
2.8,20,12.265142
0.75,20,12.63851
4.05,20,12.955853
1.55,9,13.131251
0.15,9,13.342693
3.05,20,13.706117
-0.5,7,13.8398
0.6,8,13.96929
0.8,20,14.227445
-0.2,4,14.294099
0.25,3,14.345244
2.15,9,14.519264
-0.15,5,14.65067
5.25,20,15.010227
-0.35,4,15.116088
-0.15,11,15.355707
4.9,20,15.658849
-0.8,6,15.812195
1.4,20,16.235998
-0.05,5,16.36762
1.8,20,16.850236
1.55,7,16.964502
1.8,10,17.185816
3.05,20,17.60753
4.75,20,17.969733
-0.2,5,18.054437
1.7,9,18.202669
1.25,8,18.312228
-0.3,2,18.354427
3.35,20,18.668774
5.25,20,19.090408
2.6,20,19.405182
-0.3,2,19.446912
2.15,20,19.759316
3.9,20,20.074147
0.75,20,20.38647
0.2,6,20.506423
0.1,5,20.605242
0.25,3,20.648904
-0.25,8,20.804746
1.55,7,20.938066
5.35,20,21.300813
1.7,20,21.563465
1.6,10,21.760921
0.25,3,21.804051
-0.2,4,21.898997
-0.3,4,21.967479
-0.25,3,22.038067
0.5,7,22.17508
1.95,9,22.350731
-0.25,5,22.450547
2.25,20,22.775926
4.7,20,23.083694
0.65,20,23.385887
4.9,20,23.801574
0.1,8,23.930902
1.2,11,24.140769
1.55,8,24.27101
1.9,20,24.641612
-0.15,4,24.735167
-0.15,3,24.805823
0.95,20,25.222893
4.2,20,25.535039
1.25,9,25.680691
0.6,5,25.779811
1.7,12,26.038697
2.3,20,26.467202
1.2,20,26.892424
0.45,7,27.013443
4.85,20,27.373978
2.15,20,27.737504
1.35,19,28.134816
0.3,3,28.186487
0.85,12,28.411639
-0.3,10,28.634671
0.85,7,28.771729
4.2,20,29.081555
-0.35,8,29.234879
4.45,20,29.655882
3.75,20,30.081982
-0.15,3,30.134219
-0.35,4,30.214612
-0.85,6,30.331385
-0.3,2,30.387122
-0.2,3,30.466643
1.75,12,30.692161
-0.15,4,30.760425
0.0,3,30.830348
1.1,11,31.104395
1.05,20,31.424809
-0.25,20,31.809251
-0.05,5,31.910001
1.5,20,32.226873
0.0,5,32.328532
1.65,20,32.701532
-0.4,3,32.772655
-0.3,2,32.808496
1.9,20,33.224638
4.9,20,33.484008
-0.35,4,33.552571
-0.1,6,33.670174
-0.2,20,34.040722
5.0,20,34.357123
5.1,20,34.664159
5.15,20,35.085807
1.75,9,35.207833
-0.45,20,35.578855
0.35,9,35.724614
1.4,8,35.879682
1.15,20,36.249794
0.75,7,36.387807
-0.35,10,36.585418
0.3,20,37.019254
-0.35,5,37.104413
-0.1,6,37.222061
1.5,11,37.46066
-0.35,4,37.553774
4.05,20,37.918195
1.45,11,38.122941
0.6,20,38.486867
-0.7,3,38.538718
0.0,4,38.648072
1.9,20,39.062335
0.5,6,39.215251
0.6,10,39.406609
2.4,11,39.614042
1.35,8,39.724086
2.1,20,40.095971
-0.2,4,40.202148
3.8,20,40.566848
1.4,20,40.939982
1.05,9,41.140027
2.05,20,41.457015
-0.15,5,41.540649
0.1,9,41.716485
4.75,20,42.086149
0.2,7,42.245651
3.45,20,42.563127
0.05,9,42.76623
1.45,8,42.897447
1.8,9,43.046087
3.7,20,43.348144
1.2,20,43.716832
0.45,4,43.810001
1.2,20,44.221937
-0.55,3,44.292918
-0.3,4,44.373806
-0.1,7,44.533958
1.4,11,44.778577
4.85,20,45.210234
3.7,20,45.584546
4.6,20,46.003251
1.6,20,46.424509
-0.15,5,46.510617
5.15,20,46.930504
-0.65,3,46.983416
4.95,20,47.416176
1.6,20,47.791517
0.05,20,48.210933
1.5,9,48.380253
0.3,3,48.441129
0.25,3,48.493157
-0.2,6,48.595561
1.75,8,48.749979
5.05,20,49.115066
3.55,20,49.428336
0.35,5,49.52627
1.8,20,49.840625
1.1,20,50.158532
0.25,3,50.210295
-0.1,4,50.29113
0.35,5,50.376033
0.5,20,50.85871
4.95,20,51.247229
-0.7,6,51.400683
5.05,20,51.777741
-0.3,4,51.847227
-0.05,5,51.931584
0.6,20,52.196389
-0.5,7,52.333193
1.55,9,52.480433
0.05,5,52.565725
1.95,10,52.756146
-0.55,3,52.808066
1.55,20,53.225537
4.95,20,53.533173
1.55,20,53.841544
-0.2,5,53.956528
1.55,10,54.144734
0.05,20,54.570283
-0.65,3,54.631621
0.55,4,54.712527
1.75,8,54.892701
-0.05,4,54.973136
2.5,20,55.33563
1.6,7,55.515639
1.65,8,55.695706
2.8,20,56.114672
-0.05,8,56.245027
0.25,6,56.346109
1.65,9,56.548665
1.55,10,56.740448
0.5,20,57.226061
