#{"t_start": 1764544515.281281, "env_id": "highway-v0"}
r,l,t
18.14569,23,7.362883
18.422604,24,12.731012
17.166396,22,17.457293
6.004361,7,18.905758
6.147458,8,20.563937
20.118786,27,26.291929
8.683052,12,28.790307
2.644444,4,29.623686
6.41964,8,31.307482
33.748035,40,39.73036
6.199748,9,41.615916
2.751736,4,42.449979
3.779167,6,43.751952
14.52802,18,47.475016
8.017637,11,49.748206
5.926834,7,51.208886
2.906334,4,52.076289
1.949868,3,52.698758
3.679936,5,53.728659
2.378825,4,54.558892
22.309177,29,60.574318
2.620735,4,61.407393
9.501607,12,63.862098
30.078757,40,72.210032
32.325057,40,80.445284
27.435138,37,88.065782
11.435309,13,90.762639
2.66221,4,91.605607
1.754068,3,92.223754
4.151732,6,93.463142
9.46485,13,96.125796
30.081477,36,103.762204
4.774673,6,105.062489
17.565262,24,110.060143
7.768978,9,111.907945
2.530328,4,112.73685
9.61466,12,115.202786
5.905856,7,116.683977
10.217085,14,119.74175
17.984704,23,124.874628
5.598385,8,126.620487
2.664609,4,127.490291
18.301965,24,133.614125
17.104779,24,139.168533
7.325389,10,141.370009
10.683431,16,144.995191
8.197095,11,147.425209
14.700964,18,151.667932
20.393242,28,157.673116
19.258242,26,163.464501
19.289372,28,169.873176
27.572695,36,178.380089
2.575623,4,179.298886
16.167856,20,183.683213
4.864104,7,185.194956
4.863669,7,187.059113
6.040211,8,188.910054
2.017766,3,189.70804
12.058672,14,192.822371
4.015749,5,193.911892
8.482389,10,196.221798
34.120691,40,205.495743
12.17856,17,209.094019
7.425518,10,211.43286
8.626781,13,214.52201
5.879296,8,216.288998
4.882158,6,217.616846
3.529553,5,218.747798
18.60419,23,224.155012
11.330789,16,227.716727
4.681026,6,229.11918
1.842386,3,229.825953
14.575015,20,234.149878
1.642957,3,234.7903
12.912808,19,239.663852
7.101959,9,241.814163
29.250294,36,250.120146
2.402952,4,251.000891
3.160012,5,252.115857
4.66618,7,253.677538
6.262116,8,255.517403
1.229354,2,256.005772
3.953233,6,257.234143
7.63428,10,259.294879
11.464365,15,262.47355
8.181558,11,264.791142
5.97453,9,266.640134
1.884432,3,267.264317
3.980173,6,268.534632
2.182234,4,269.372946
9.443923,13,272.070146
3.417454,5,273.109187
3.748366,5,274.182508
30.302819,40,282.571221
5.4824,7,284.00077
9.081696,11,286.256992
12.378742,18,290.033491
3.442099,5,291.07721
9.504138,12,293.606754
4.712794,7,295.060442
6.602361,10,297.167683
9.994765,14,300.084821
4.817129,7,301.523198
9.591084,13,304.251112
13.477067,18,308.006168
28.713493,40,316.292986
8.615859,12,318.781804
22.594679,30,325.024374
3.636731,5,326.122492
13.400192,20,330.247168
18.330013,23,334.998526
2.508207,4,335.81239
6.52944,9,337.706213
6.869057,10,339.758129
5.773964,8,341.485958
12.972523,17,345.014621
9.65513,11,347.323948
3.310175,5,348.351969
5.653988,7,349.800123
10.996633,16,353.153769
31.786418,40,361.598894
3.705875,5,362.612108
7.376979,9,364.457126
1.951736,3,365.087542
3.860191,5,366.146639
3.404176,5,367.180879
15.131492,21,371.441104
5.679686,7,372.856804
10.766436,13,375.573988
17.630199,20,379.69488
5.336677,8,381.380417
8.570062,10,383.470601
2.594972,4,384.314189
24.967175,35,391.53318
13.864104,20,395.686308
12.758638,14,398.528505
13.998097,20,402.795105
4.3094,6,404.035038
3.39635,5,405.060301
4.040222,6,406.307836
9.815104,12,408.83181
19.659553,26,414.171333
6.63673,8,415.871001
2.531272,4,416.786
1.884432,3,417.419042
29.546487,40,425.799043
7.456034,9,427.630676
28.134373,40,435.910096
5.916256,9,437.816794
5.571077,8,439.473449
12.436642,15,442.615076
1.910548,3,443.283107
30.039167,40,451.628348
6.948478,9,453.528116
8.989305,11,455.790848
20.536417,27,461.404079
10.351425,14,464.297066
3.397846,5,465.322355
18.898655,23,470.083472
1.928877,3,470.760965
9.864261,14,473.727108
4.327872,6,474.950397
32.272003,40,483.387746
24.929235,33,490.568952
10.904459,13,493.294109
8.187792,10,495.326826
3.886672,5,496.374586
4.285109,6,497.601994
9.442656,14,500.483057
6.658667,8,502.177331
3.376163,5,503.210825
10.138577,14,506.12763
23.464647,33,512.9466
6.871123,9,514.820178
29.760029,40,523.220751
5.585873,7,524.660038
3.8443,6,525.975848
5.418137,7,527.423062
3.713813,6,528.664881
6.996072,9,530.557691
9.704367,13,533.265327
10.749182,13,536.014223
29.749255,40,544.337664
1.087786,2,544.753832
31.558607,40,553.132434
3.760012,6,554.370421
4.049812,5,555.408217
12.168766,15,558.472684
17.729176,23,563.237822
4.305159,6,564.477653
0.93277,2,564.892107
30.703719,40,573.059099
28.667546,39,581.188541
15.412379,19,585.106885
6.239205,8,586.851775
6.815141,9,588.874147
3.083767,4,589.727938
13.306792,17,593.360829
2.683201,4,594.244159
14.968427,19,598.200114
12.704354,15,601.336108
22.123268,29,607.267096
1.043882,2,607.689902
8.823601,11,609.964321
11.860927,17,613.567539
9.508272,12,615.997919
25.457012,36,623.541094
0.93277,2,623.978841
14.543398,19,627.936205
13.635136,18,631.610067
14.326618,21,635.885571
4.799201,6,637.106806
12.397121,16,640.475884
19.585596,23,645.315462
8.746295,12,647.780061
3.626249,6,649.015464
10.182033,12,651.531912
3.553497,5,652.550373
5.969143,7,653.994284
4.400799,7,655.421743
4.54908,6,656.688691
10.047792,13,659.373684
2.488786,4,660.193792
9.139138,13,662.861811
25.303015,33,669.763808
3.001092,5,670.789145
15.304169,20,674.864416
7.752131,10,676.928038
18.306374,22,681.582114
11.774411,15,685.091969
29.555624,40,693.308865
2.882533,4,694.127926
11.785739,14,697.061857
10.506901,14,700.077824
2.57572,4,700.92085
5.116366,8,702.60294
8.916453,11,704.970051
6.197712,8,706.594746
15.162761,21,710.935808
4.216648,6,712.171157
3.94908,5,713.227159
7.799504,9,715.107598
30.878734,40,723.601213
4.726838,6,724.886478
16.125514,20,729.091101
2.681714,4,729.932449
