#{"t_start": 1764394225.713617, "env_id": "highway-v0"}
r,l,t
4.799314,7,4.905905
1.839988,3,6.094564
15.11349,19,14.866162
5.103489,6,17.322802
2.707816,4,19.131494
9.345345,11,23.83305
3.625175,6,26.315576
15.029051,18,33.355762
3.773219,5,35.003928
20.947558,24,42.953696
22.538957,28,52.788418
12.085889,16,58.309582
6.150952,8,61.105179
5.334699,8,63.868015
2.728877,4,65.30347
25.280824,33,79.518572
6.288752,8,83.117117
4.288889,6,85.653959
2.97958,4,87.149473
4.021175,5,89.163822
16.346217,20,96.451269
22.60011,31,107.804293
12.903251,17,114.242662
4.837969,6,116.38098
14.350383,19,123.919504
8.146444,11,127.840904
9.465474,12,132.147643
2.775716,4,133.753876
5.993942,8,136.563009
11.8916,16,141.968331
1.97209,3,142.980495
11.777081,17,148.819611
2.772656,4,150.269078
3.308385,5,152.102607
1.620723,3,153.259001
7.548124,9,156.422784
9.30667,12,160.677549
4.441587,6,162.829731
6.685019,10,166.256105
6.108885,8,169.140408
11.957286,16,174.811376
3.643758,6,176.944341
5.000133,7,179.456047
6.59428,8,182.214131
23.808612,30,193.669761
4.489646,6,200.49225
3.905875,5,202.301178
13.546613,18,209.136779
8.302481,10,212.781411
3.290042,5,214.550085
7.486278,10,218.319061
8.441552,12,223.302171
30.235113,40,238.243651
8.337798,13,242.950775
18.389987,25,252.036977
22.876029,29,262.563321
5.484193,7,265.066014
8.082564,11,269.073351
24.140587,28,281.013326
1.664981,3,282.162834
5.621115,7,284.707639
0.998897,2,285.461032
3.440869,5,287.276757
2.00055,3,288.434698
1.951099,3,289.586764
7.736409,10,293.324085
6.395833,9,296.631562
5.36966,7,299.176224
1.710548,3,300.28723
1.253127,2,300.978584
2.597938,4,302.485723
9.56908,12,306.982718
4.111443,6,309.332636
5.704638,7,312.01568
4.948001,6,314.381174
10.910054,16,320.286325
1.796106,3,321.391647
17.170057,20,328.910827
9.141964,11,332.599367
10.152487,14,337.574732
5.353022,8,340.637667
2.777215,4,342.157284
9.019902,11,346.46709
9.258672,11,350.460594
8.83521,10,354.049971
20.418123,29,363.879214
2.418962,4,365.229508
22.745311,25,374.240613
6.393246,8,377.147886
4.26846,6,379.413765
11.669961,15,385.395962
20.238403,25,395.200462
7.156752,10,398.983574
14.500811,16,405.099651
9.707688,14,410.403754
4.391064,6,412.658833
6.172391,9,415.894193
8.680917,11,419.921526
5.258296,7,422.4034
4.730448,7,425.056906
5.248673,7,427.759123
5.4237,8,430.739563
6.484123,9,433.941573
15.441115,22,442.253073
31.986889,40,455.742872
3.992465,5,457.414412
4.882396,6,459.38318
9.654279,13,463.793278
4.863457,7,466.165896
4.419934,6,468.199973
12.460311,17,473.932956
