#{"t_start": 1763710297.7667186, "env_id": "highway-v0"}
r,l,t
1.753497,3,4.04993
12.613993,17,8.014828
15.612563,22,13.212011
7.411767,9,15.320893
31.47833,40,24.635608
5.617743,7,26.282996
27.534398,40,35.546514
3.333896,5,36.688724
3.956735,6,38.135122
17.105912,23,43.842698
3.220723,5,45.010942
1.927645,3,45.70935
4.643862,6,47.221261
29.469477,40,56.824492
6.37982,8,58.866012
14.857742,18,62.923609
2.971422,4,63.838644
8.082423,10,66.1285
2.706655,4,67.035855
23.932992,33,74.697367
30.794084,40,84.069623
30.683969,40,93.689775
4.562235,6,95.112351
2.576279,4,96.047903
22.929253,29,102.725314
23.198769,29,109.764444
17.324317,24,115.30642
2.799335,4,116.224591
8.288889,12,119.062019
16.779696,20,123.744765
17.726863,24,129.176571
8.14635,10,131.634963
8.822222,12,134.669615
4.711451,7,136.283068
19.791585,26,142.209444
20.547419,28,148.588471
33.179059,40,157.996888
11.400023,15,161.455492
25.825869,34,169.40338
2.4,4,170.301865
8.826116,12,173.054393
15.665168,19,177.419005
21.307858,31,184.444386
7.532656,9,186.462867
28.178341,40,195.643469
16.465168,20,200.236557
3.354057,5,201.399612
18.158519,23,208.140499
30.441442,40,218.122073
31.227481,40,228.141773
7.08739,9,230.404144
7.2,10,232.736558
5.887042,8,234.626973
3.533333,5,235.803043
6.037952,7,237.635549
8.0,11,240.358642
20.154057,25,247.536367
19.530073,24,254.501678
2.4,4,255.726808
19.2,25,263.100664
11.952295,15,267.397185
10.751052,14,271.534249
6.908113,9,274.251586
7.752558,10,277.25274
29.244448,40,289.201389
14.577743,18,294.314673
17.8,21,300.50743
22.733333,27,308.401512
1.733333,3,309.291967
6.552295,9,312.003436
6.180741,8,314.307763
22.733333,27,322.369786
12.733333,16,326.925715
0.909265,2,327.492036
6.865168,9,329.998798
1.065168,2,330.569947
4.4,6,332.268073
1.754068,3,333.221881
6.692801,9,335.708092
18.265168,21,341.924381
3.394972,5,343.32919
3.805122,6,345.03846
7.866667,10,348.280618
11.333333,14,352.308386
4.909265,7,354.259134
8.733333,11,357.495097
33.909612,40,369.00173
2.531846,4,370.188674
11.581515,15,374.602737
13.933333,17,380.006759
6.552295,9,382.792724
1.909612,3,383.740552
29.692649,40,395.350721
29.091163,40,406.941909
11.505156,14,410.920247
14.8,18,416.260086
17.238186,21,422.422382
1.75387,3,423.274055
2.132845,3,424.096975
24.802261,30,432.826053
13.515654,16,437.480841
7.571278,9,440.078371
3.971308,5,441.59134
9.669964,11,444.81161
9.904611,11,448.168301
17.420958,19,453.877702
9.528074,11,456.994123
18.172519,21,463.213104
10.871764,13,466.993275
1.928877,3,467.866622
1.119793,2,468.463878
14.082389,16,473.090891
6.039186,7,475.112682
4.905856,6,476.821088
14.926834,16,481.632789
2.98587,4,482.790455
25.446253,27,490.697458
14.046253,16,495.388111
8.326599,10,498.39725
1.906655,3,499.288359
3.816987,5,500.702786
20.104611,21,507.072734
9.660167,11,510.287186
4.971282,6,512.135792
5.905853,7,514.198854
6.039186,7,516.372971
2.039988,3,517.289497
3.95032,5,518.826611
8.194741,10,521.747825
18.731696,20,527.999148
5.039189,6,529.784413
10.503363,12,533.293401
8.816963,10,536.203793
6.305852,7,538.324502
5.202741,6,540.048058
15.889149,17,545.132436
0.910548,2,545.702836
5.728075,7,547.735943
13.949056,15,552.158589
8.372519,10,555.013752
8.039185,9,557.642656
8.372542,10,560.525465
2.805774,4,561.700217
3.996722,5,563.15096
8.660167,10,566.051738
17.41993,19,571.658857
1.906655,3,572.502223
1.906655,3,573.387319
4.802741,6,575.081695
17.903374,20,580.891079
12.126837,14,584.956116
11.172519,13,589.002546
6.017629,7,591.105209
18.505852,21,597.154471
18.095723,19,602.742327
6.950296,8,605.02423
4.905856,6,606.744668
1.173321,2,607.34556
16.905871,18,612.628453
9.816963,11,615.814604
11.336074,13,619.680536
1.906655,3,620.580461
11.043079,13,624.335701
6.68363,8,626.685009
7.73129,9,629.267779
5.483657,7,631.345851
3.822949,5,632.803422
4.939115,6,634.488412
3.305875,4,635.633881
13.860167,15,639.969514
7.9935,9,642.947341
8.002741,9,646.185984
11.746321,13,650.79657
13.372519,15,656.946114
3.839209,5,659.001587
18.799197,20,665.660509
4.184615,5,667.355802
4.026762,5,668.967496
1.839988,3,669.960141
3.156287,4,671.328061
10.108581,12,675.284007
3.993524,5,677.079692
19.039185,20,684.735748
4.957946,6,687.021255
17.924529,19,694.261459
4.141411,5,695.990349
1.173321,2,696.70204
3.993524,5,698.397077
4.039209,5,700.095334
9.528074,11,704.965452
19.103371,20,713.676848
3.860193,5,715.578166
8.039185,9,718.92612
13.77786,15,724.683232
8.926834,10,727.933995
13.039185,14,732.354847
13.837945,15,736.991944
1.119793,2,737.600591
15.661408,17,742.944702
2.993644,4,744.242592
8.11292,9,747.006774
21.804283,25,754.807052
6.004541,7,757.000584
1.906655,3,757.949831
7.51292,9,760.737202
5.728075,7,762.959086
10.575486,12,766.944245
1.839988,3,767.938287
3.93406,5,769.555307
11.039185,12,773.10138
6.039186,7,775.153365
15.28363,17,780.169389
15.026764,16,784.785324
6.910597,8,787.158548
9.858918,11,790.297182
6.643397,8,792.649367
10.905852,12,796.084068
15.731755,17,801.125486
9.794741,11,804.268072
2.772656,4,805.545346
2.136143,3,806.483684
11.172519,13,810.332582
2.466769,4,811.504156
6.668162,8,813.86459
7.156282,8,816.245773
2.039988,3,817.158571
1.072175,2,817.771389
2.928211,4,818.956779
1.839988,3,819.882973
2.972656,4,821.106141
1.973321,3,822.033151
2.039988,3,822.937706
1.023994,2,823.586832
4.083634,5,825.066011
7.039185,8,827.865162
5.572519,7,829.885762
2.039988,3,830.798589
6.68363,8,833.213681
8.489615,10,836.199644
