#{"t_start": 1764970946.0686874, "env_id": "intersection-v1"}
r,l,t
1.0,3,3.021198
0.0,1,3.115017
1.0,4,3.54346
2.0,13,4.820878
1.0,5,5.295671
0.475881,9,6.086986
2.0,13,7.872896
0.0,1,8.095478
1.0,3,8.559284
-5.0,7,9.436804
0.0,1,9.548727
1.0,4,9.927801
0.0,13,11.14572
0.0,1,11.205295
2.0,10,11.921859
-5.0,11,12.504444
-5.0,1,12.574043
1.0,1,12.690262
1.0,1,12.76935
0.0,7,13.057628
-4.0,7,13.448886
1.0,13,14.345371
0.0,13,15.234912
-4.0,6,15.862281
1.0,13,16.751763
1.0,13,17.435492
2.0,7,18.025913
0.0,13,18.85115
1.0,1,18.930162
0.0,4,19.135986
0.0,2,19.229779
0.0,1,19.324537
0.0,3,19.539921
1.0,6,20.103678
0.0,8,20.750545
1.0,9,21.541942
0.0,6,21.874393
0.0,3,22.103461
1.476115,13,23.269078
1.0,3,23.561535
0.0,13,24.731622
1.0,8,25.539008
1.0,1,25.63292
7.0,10,26.246989
0.0,1,26.362611
0.0,13,27.185122
1.0,1,27.363003
1.0,7,27.957525
-4.0,6,28.295687
1.0,1,28.450918
0.0,1,28.515641
0.0,13,29.79976
-4.924536,13,30.953599
0.0,13,33.059343
-4.0,4,33.5059
0.0,1,33.639451
1.0,6,34.224844
1.0,1,34.388927
1.0,1,34.566719
0.0,1,34.745533
1.0,1,34.86106
1.0,2,35.26221
-2.0,6,35.747537
1.0,1,35.869043
0.0,1,35.944507
1.0,1,36.041775
1.0,1,36.114714
1.904589,13,36.966936
1.0,1,37.071361
1.0,7,37.782171
0.0,3,37.989215
1.0,4,38.317702
1.0,1,38.402591
0.0,7,38.682632
0.0,4,38.941613
0.0,1,39.044147
-4.0,3,39.245806
1.0,4,39.59382
0.0,1,39.687908
1.0,6,40.342339
1.552483,6,40.6307
0.0,1,40.750668
1.0,10,41.593629
0.337364,13,43.560828
0.0,5,44.411729
0.088162,13,45.362682
1.679612,8,46.130811
1.0,8,47.100796
0.0,10,47.713556
1.0,1,47.820845
1.173339,4,48.005942
1.0,1,48.070812
1.0,7,48.477088
1.0,13,49.472897
0.0,13,50.138554
0.0,13,50.701396
3.0,9,51.502918
1.0,4,51.735947
1.0,2,51.886909
0.0,1,51.954272
1.0,1,52.047591
-4.384719,7,52.627406
1.0,1,52.719284
0.0,13,53.605127
1.0,2,53.761568
-3.0,5,54.071567
0.0,1,54.176815
1.0,1,54.2249
2.0,7,54.827646
0.0,3,55.013849
0.0,1,55.128977
-5.0,1,55.192212
0.995634,13,56.393013
0.0,4,56.724628
0.0,7,57.160061
1.0,1,57.284906
0.0,13,58.613395
1.0,12,59.740554
1.0,1,59.782391
0.0,11,60.556909
0.0,1,60.62894
1.0,6,60.995094
2.0,6,61.453542
1.0,1,61.543744
0.0,13,62.863471
1.0,2,63.083544
0.0,4,63.435235
1.0,1,63.537735
0.0,1,63.615351
0.0,2,63.804966
2.0,9,64.431318
-4.658235,4,64.809224
0.0,13,66.005491
0.0,10,66.479385
1.272646,13,67.689479
0.0,6,68.039694
0.0,12,69.184672
2.0,13,70.326925
1.0,1,70.433583
-5.0,12,71.137923
0.0,13,72.531661
1.0,1,72.612334
0.0,13,73.744462
1.0,4,73.98574
1.0,1,74.066548
1.0,9,74.813584
1.0,2,75.041448
1.0,10,76.190014
0.0,12,76.975843
0.0,1,77.087187
1.0,13,77.978611
1.0,1,78.096715
0.0,8,78.633139
0.099428,8,79.263673
1.0,1,79.380762
0.0,1,79.491513
0.221523,13,80.817522
0.0,5,81.153622
0.0,9,81.63645
1.0,1,81.774767
1.0,10,82.510128
0.0,13,83.492109
0.0,3,83.653078
2.0,5,84.027395
3.0,7,84.627166
0.0,1,84.747315
1.0,6,84.997976
0.0,13,86.196243
-5.0,11,87.307884
0.0,1,87.395098
0.0,1,87.490291
-2.855253,10,88.494019
1.0,1,88.544485
0.0,1,88.638174
0.0,1,88.774036
0.0,9,89.527097
1.0,1,89.632743
-4.490087,6,90.237056
0.0,1,90.348436
0.0,1,90.467214
1.0,4,90.654033
0.088751,4,90.808427
0.0,9,91.478609
0.0,6,92.019884
1.0,9,92.585809
0.0,9,93.153674
4.0,13,94.569259
3.0,7,95.127915
0.0,13,96.346326
1.848012,7,96.769163
0.0,4,97.143844
