#{"t_start": 1764479007.2852836, "env_id": "intersection-v1"}
r,l,t
0.0,1,5.043878
1.0,3,5.978124
0.0,8,8.130366
1.0,3,8.630936
0.0,1,8.975749
1.0,3,9.372794
0.0,1,9.626649
0.0,1,10.041898
0.0,1,10.362083
0.0,1,10.933404
1.0,13,15.047297
0.0,1,15.201545
0.0,13,18.886906
0.466049,11,21.107471
1.0,1,21.661729
1.0,8,23.362665
0.0,1,23.740992
1.0,6,25.171618
2.865387,13,27.78686
0.0,1,28.185019
1.0,2,28.849042
0.0,1,29.157231
0.0,1,29.637509
1.0,4,30.578013
1.0,3,31.077995
0.0,2,31.4893
2.0,7,34.243659
2.0,5,35.313618
0.0,13,40.70679
0.0,8,43.560207
1.0,3,44.79082
1.0,13,49.235937
0.0,1,49.429157
1.0,3,49.910982
0.0,13,54.461381
4.0,13,57.967078
0.0,6,59.800201
0.0,13,64.926829
3.0,4,66.065858
0.0,12,70.807975
2.0,7,72.159117
1.0,13,75.775871
0.0,2,76.406604
0.0,10,79.182459
0.0,1,79.496613
0.0,13,84.497032
1.0,1,84.885977
0.0,9,86.666716
-4.0,6,89.586385
1.0,12,93.183207
0.0,1,93.473207
1.0,1,93.889804
0.0,13,98.643218
0.0,1,98.925271
1.0,10,101.694543
1.635267,9,104.404182
-5.0,6,105.878582
-2.0,5,106.956057
0.0,3,107.685874
0.0,1,107.9794
0.0,1,108.214089
0.0,6,109.590611
1.0,1,109.830351
0.0,1,110.081522
1.0,4,111.28688
0.0,1,111.601973
0.0,13,115.033612
1.0,1,115.414973
0.0,9,116.962862
0.0,6,118.847185
-2.0,3,119.952801
0.0,1,120.257077
1.0,13,124.106667
0.0,1,124.411914
0.0,1,124.653668
0.0,1,124.972796
1.0,1,125.175279
0.0,1,125.573721
1.0,1,126.186564
1.0,13,130.566241
0.0,4,131.533546
0.0,13,135.499994
0.0,5,137.166825
0.0,1,137.622054
1.0,6,139.364821
0.0,13,143.483032
1.0,10,146.138025
0.93955,3,146.912915
0.0,1,147.123883
1.0,13,150.862107
1.0,1,151.173715
0.0,2,151.634368
0.0,2,152.02348
0.0,13,154.472299
2.0,4,155.072454
2.0,9,157.312418
0.0,13,160.90417
0.0,1,161.638288
1.0,10,163.401965
2.0,3,164.220673
0.0,1,164.758203
0.01401,13,170.137426
2.0,9,172.224307
1.0,1,172.893514
0.0,13,177.167024
-4.0,10,180.669362
2.0,9,184.319853
0.0,13,189.206896
-5.0,1,189.49392
-5.0,1,189.994968
1.0,3,190.838335
1.0,1,191.148845
0.0,5,192.266475
-2.0,9,194.455321
0.0,1,194.694374
1.0,3,195.433919
0.0,3,196.394078
0.0,1,196.736753
0.0,1,197.034274
1.0,1,197.356422
-3.0,12,201.743444
0.0,1,202.040546
-5.0,1,202.391409
0.0,1,202.738043
1.112457,10,205.464493
0.0,5,206.577632
1.0,3,207.355581
0.0,13,212.447545
2.0,6,214.37301
2.0,6,215.811662
1.0,1,216.197729
0.0,4,217.586332
1.0,1,217.876513
1.0,1,218.21851
1.0,1,218.612871
0.0,7,219.57484
-1.0,12,222.378407
0.0,1,222.680243
1.0,1,223.099603
5.631511,13,226.364473
1.0,4,227.909521
0.670285,13,233.815434
0.0,1,234.433189
2.0,5,236.166561
0.0,5,237.890908
0.0,1,238.30063
1.0,1,238.598011
1.0,13,244.069103
1.0,1,244.385003
1.0,7,246.990713
2.0,8,249.049588
1.0,13,256.708301
0.0,13,261.518092
1.0,13,265.366496
