#{"t_start": 1764380322.353233, "env_id": "merge-v0"}
r,l,t
5.961185,7,2.140126
7.558485,9,2.37963
5.597123,7,2.553332
5.094542,6,2.707287
5.853018,7,2.891334
9.097847,11,3.17567
9.449103,11,3.471794
4.885943,6,3.611487
8.200518,10,3.894638
5.969573,7,4.078849
3.98695,5,4.192602
6.006764,7,4.362557
3.29879,4,4.45562
5.794807,7,4.649373
3.382123,4,4.819318
5.862554,7,5.084774
6.222327,7,5.351303
7.679264,9,5.599687
7.632368,9,5.824879
5.145653,6,5.978544
6.88904,8,6.220035
5.746527,7,6.382039
11.840888,15,6.763433
5.958257,7,6.969759
7.041637,8,7.172518
9.611168,11,7.428569
4.78775,6,7.593823
5.177604,6,7.737838
3.159901,4,7.844891
3.305556,4,7.926887
5.866288,7,8.107166
6.771916,8,8.297999
4.088889,5,8.398845
8.650096,10,8.614203
5.947387,7,8.78651
6.103019,7,8.971499
7.016171,8,9.187274
3.902703,5,9.315123
9.405034,11,9.560334
4.066765,5,9.685698
6.147079,7,9.883484
4.978193,6,10.062606
5.020457,6,10.196881
7.163733,8,10.380669
6.850436,8,10.605857
6.072724,7,10.76928
5.177876,6,10.932398
4.039171,5,11.047131
7.180524,8,11.256579
5.127023,6,11.445232
7.006764,8,11.662222
10.561806,14,11.97852
5.847884,7,12.168615
4.13701,5,12.299791
6.833485,8,12.4773
5.024832,6,12.598111
6.994732,8,12.797384
5.9933,7,13.007351
6.789076,8,13.222107
7.017168,8,13.425775
4.97176,6,13.584145
5.011209,6,13.750386
5.991908,7,13.919296
6.128279,7,14.113119
13.384011,15,14.510368
7.307436,9,14.760614
7.128279,8,14.955262
11.69733,13,15.271177
3.271012,4,15.384329
7.027809,8,15.590413
12.494105,15,16.018956
7.520441,9,16.278713
3.2,4,16.378949
5.247499,6,16.534926
7.017168,8,16.73982
5.228987,6,16.894114
6.252944,7,17.044053
4.364056,5,17.166475
3.444444,4,17.270133
9.00313,11,17.522074
5.179147,6,17.717144
7.11353,9,17.930398
4.056093,5,18.082561
5.931528,7,18.277749
10.301723,12,18.611326
8.99305,11,18.923147
6.2,7,19.092667
6.956924,8,19.299306
8.215128,10,19.599509
6.153128,7,19.793191
5.275899,6,19.928941
8.584848,10,20.204987
8.781373,11,20.497982
6.635292,8,20.734722
5.889426,7,20.922809
4.170094,5,21.049291
7.047854,8,21.254203
4.215535,5,21.403363
5.237991,6,21.522227
3.130339,4,21.593156
5.164166,6,21.755528
12.290547,14,22.127055
8.346959,10,22.397793
7.072724,8,22.603485
7.044946,8,22.786551
6.187123,7,22.982846
6.227778,7,23.15689
11.583333,12,23.447206
4.205654,5,23.569432
8.310224,10,23.839891
3.315049,4,23.951717
7.958995,9,24.186454
6.74234,8,24.393997
3.361111,4,24.50595
3.388889,4,24.6173
7.955644,9,24.829303
3.354346,4,24.943056
4.12688,5,25.0717
4.182436,5,25.199989
6.23939,7,25.362005
3.331454,4,25.475338
6.256764,7,25.67254
7.263857,8,25.885026
6.861147,8,26.099435
6.924477,8,26.303632
5.998121,7,26.486352
5.303054,6,26.637629
7.26386,8,26.851074
6.878279,8,27.077714
6.155629,7,27.298052
4.252945,5,27.396318
3.311111,4,27.514076
7.044946,8,27.718688
5.136388,6,27.877226
6.127852,7,28.046536
6.121086,7,28.238514
5.128279,6,28.375213
6.128279,7,28.568034
6.112667,7,28.751612
6.158574,7,28.933265
5.154658,6,29.074627
3.366667,4,29.185503
4.366667,5,29.309985
5.12688,6,29.471598
6.083505,7,29.673259
6.056999,7,29.873374
7.072724,8,30.064023
6.103019,7,30.264714
6.100501,7,30.463396
6.02795,7,30.66666
5.108165,6,30.79654
3.29037,4,30.908035
3.361111,4,31.026166
7.072724,8,31.244366
4.099102,5,31.388572
6.139426,7,31.581544
5.986421,7,31.749855
7.960178,9,32.002462
8.761899,10,32.24428
11.999703,16,32.631923
7.661788,9,32.839555
8.485845,10,33.082543
12.299718,15,33.476508
7.072724,8,33.684001
11.999703,16,34.151286
13.522901,15,34.528291
11.289676,13,34.878294
6.961613,8,35.080573
5.097736,6,35.240084
3.252945,4,35.354844
10.577028,12,35.646017
6.042639,7,35.849726
3.311111,4,35.96605
6.836759,8,36.143902
4.305556,5,36.259624
6.028315,7,36.458445
5.024832,6,36.612189
4.243235,5,36.737188
7.044946,8,36.950975
6.799748,8,37.172606
6.038987,7,37.351261
7.072724,8,37.545583
4.283333,5,37.663931
6.109568,7,37.841461
