#{"t_start": 1764480613.2480724, "env_id": "merge-v0"}
r,l,t
7.264612,8,5.320748
4.117875,5,5.657547
6.899619,8,6.146848
10.250624,15,7.033404
4.177783,5,7.266902
3.194444,4,7.523555
12.428117,14,8.381835
7.250031,8,8.824136
9.887281,13,9.573853
3.144444,4,9.795076
6.014861,7,10.153365
4.877275,6,10.456475
4.208194,5,10.766894
4.906057,6,11.589953
10.503323,14,12.414824
6.033339,7,12.82414
4.116667,5,13.108572
4.848327,6,13.441851
3.081454,4,13.686732
7.028763,9,14.169624
11.302541,16,15.113193
6.73577,8,15.533711
10.167653,12,16.140602
10.306541,12,16.768054
5.81232,7,17.137431
4.822724,6,17.454103
3.086278,4,17.664754
10.362097,12,18.295413
5.066765,6,18.630603
4.422222,5,18.921262
6.194616,7,19.293233
6.300074,7,19.686474
7.23939,8,20.121733
7.267168,8,20.541699
6.970975,8,21.005284
7.930408,9,21.490736
6.278315,7,21.883331
7.267168,8,22.305415
6.194616,7,22.692024
4.382123,5,22.964518
5.303054,6,23.300286
5.278315,6,23.636017
3.331454,4,23.867891
7.267168,8,24.294928
7.267168,8,24.72354
7.267168,8,25.160304
4.290258,5,25.427815
6.194616,7,25.772059
7.267168,8,26.213922
5.303054,6,26.511759
6.083333,7,26.874656
6.322296,7,27.281332
6.180906,7,27.676592
5.256764,6,27.964389
6.247054,7,28.390565
6.225045,7,28.777635
4.422222,5,29.053301
7.267168,8,29.529833
3.347193,4,29.817273
5.256764,6,30.226262
4.422222,5,30.525481
5.237991,6,30.866457
7.267168,8,31.318542
4.364056,5,31.606926
6.968393,8,32.067077
12.790742,17,33.008984
5.191342,6,33.339843
6.257396,7,33.885814
3.364056,4,34.173465
7.267168,8,34.598112
3.444444,4,34.897454
7.267168,8,35.392035
6.267168,7,35.848345
4.237991,5,36.136755
4.247054,5,36.427402
5.290258,6,36.780368
5.256764,6,37.098057
6.225045,7,37.497057
7.23939,8,37.946381
7.267168,8,38.392003
7.267168,8,38.839319
7.267168,8,39.288351
4.247054,5,39.591902
7.267168,8,40.05322
3.364056,4,40.291754
6.300074,7,40.726426
6.300074,7,41.136064
5.290258,6,41.478225
5.316765,6,41.833635
6.241908,7,42.238844
6.983521,8,42.73348
5.237991,6,43.075655
3.401481,4,43.282545
6.322296,7,43.726439
4.331454,5,44.005213
6.300074,7,44.402925
7.267168,8,44.861061
6.279333,7,45.26372
6.278315,7,45.674366
7.23939,8,46.169617
7.267168,8,46.645094
7.267168,8,47.12874
7.267168,8,47.611105
5.247054,6,47.977427
6.259975,7,48.394164
7.23939,8,48.862502
6.989748,8,49.348474
3.347193,4,49.56552
6.209306,7,50.018167
6.300074,7,50.57331
6.300074,7,51.153482
4.364056,5,51.450898
6.209306,7,51.87343
11.091153,12,52.64929
5.76386,7,53.057419
5.838889,7,53.455359
4.816765,6,53.820259
3.965457,5,54.110825
3.840098,5,54.389062
4.778315,6,54.749049
5.780723,7,55.172898
5.792639,7,55.552885
11.202264,12,56.303555
7.267168,8,56.763642
4.941943,6,57.121939
6.241908,7,57.512234
6.247054,7,57.925728
4.247054,5,58.230238
6.278315,7,58.638772
3.444444,4,58.88757
7.716009,9,59.459786
6.241405,7,59.851631
5.278315,6,60.205273
7.257396,8,60.656589
5.290258,6,61.002397
3.382123,4,61.242006
4.331454,5,61.546259
4.347193,5,61.839221
14.522901,16,62.904846
5.724811,7,63.320807
12.689172,17,64.20078
12.689172,17,65.121958
7.257396,8,65.552084
11.916933,15,66.415282
5.07839,6,66.732513
7.112268,9,67.218975
14.522901,16,68.11763
7.257396,8,68.557473
4.124867,5,68.823659
11.91901,15,69.647811
10.346956,12,70.303636
7.10483,8,70.764273
13.078447,14,71.544673
4.242299,5,71.805372
7.206925,8,72.241592
4.235642,5,72.52515
7.45582,9,73.04463
5.265912,6,73.363581
7.473444,9,73.872571
5.024867,6,74.188032
7.132553,9,74.64832
12.439172,17,75.527173
7.257396,8,75.96267
5.707605,7,76.337322
11.694444,12,76.973026
10.280196,12,77.617579
5.290258,6,77.959024
7.219721,8,78.393198
5.247054,6,78.714441
3.364056,4,78.93706
4.401481,5,79.197759
5.248121,6,79.513572
11.202264,12,80.178924
11.694444,12,80.816301
4.364056,5,81.088985
11.916933,15,81.948304
10.336463,12,82.584377
8.059265,9,83.066412
13.800679,15,83.88846
4.984285,6,84.211527
7.257396,8,84.63695
10.31753,12,85.261759
15.189568,17,86.17839
7.257396,8,86.604509
7.829753,9,87.099675
7.257396,8,87.486178
4.444444,5,87.757117
4.401481,5,88.044136
3.319415,4,88.253836
10.750986,12,88.929047
6.114056,7,89.299171
6.821325,8,89.727551
11.146709,12,90.391377
11.694444,12,91.02921
6.180906,7,91.413157
7.010792,8,91.863306
6.241405,7,92.249794
8.771235,11,92.865515
15.189568,17,93.860299
15.189568,17,94.852165
6.131866,7,95.231019
7.257396,8,95.650493
7.464327,9,96.157686
4.242299,5,96.420378
6.75448,8,96.862208
7.206925,8,97.298888
4.295848,5,97.576943
6.745473,8,98.025773
4.1881,5,98.302566
8.698008,11,98.94231
10.346956,12,99.595865
12.689172,17,100.465664
12.633051,15,101.298353
7.206925,8,101.744376
12.383051,15,102.535026
13.328457,15,103.324043
5.013645,6,103.657793
14.217346,16,104.544457
7.849302,9,105.033848
7.248121,8,105.477672
8.027785,10,106.022135
14.522901,16,106.907091
7.144066,8,107.332276
7.975932,9,107.834872
11.528044,15,108.636777
10.210272,12,109.283716
